Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,570250,7231202,75746,584683,191023,72168,45743,3191036,5262092,111890,30274,603289,209627,831399,73474,3473035,767427,5952277,102938,5326927,3513308
500,559118,317449,92624,167305,161391,112335,41552,9719240,342288,118138,26027,1360429,201902,2370849,106291,10111996,304493,18300767,108895,16402640,10844864
750,508909,252143,89012,155813,165123,114252,40777,15762570,352605,121022,36539,2227156,244565,3879426,112350,17100788,464954,30142278,104870,25310861,17840233
1000,496932,268600,88576,153900,263630,114683,53380,22987915,339803,128249,23534,3088502,259900,5476421,119630,23670541,135908,37754614,106605,34935167,24746325
1250,483491,279978,87080,147173,168240,154141,47376,30390168,316739,124590,22132,4127023,248287,6958031,121828,28852618,811404,50332435,87009,49040534,33595585
1500,486058,274276,94541,180939,157846,3050197,45038,36403717,406088,151960,22884,4760066,249273,8489835,123991,37147198,139675,58109789,108462,61401567,41249508
1750,516862,324379,95491,199999,176151,100706,47940,41108347,299827,131040,22112,5570729,263256,10135712,109609,47483892,136369,68822936,86791,90691820,46181299
2000,507725,315203,101201,165401,178740,97099,52359,47859669,315902,131620,21978,6334739,272603,11620275,108179,50650816,135300,86023669,107705,93659186,53233750
2250,493433,350705,123770,160987,155333,93904,42798,57830069,316053,128928,22665,7132732,256665,13395705,112138,58903143,1382205,113394091,132527,106226547,62116950
2500,520167,299990,122932,162390,163512,112099,51467,64329362,522170,139159,26888,7986244,264370,14824822,111717,63476585,130881,121078279,87042,130660219,79888126
2750,540195,286839,127887,148169,171213,89233,52057,72319860,346214,144909,23447,8877790,282485,16258147,107771,70834894,129131,133837499,74552,167336158,74176157
3000,546708,289038,121959,149209,167692,88698,44917,78968364,361343,147991,23420,9748350,265562,24059609,106672,85029530,133261,148900054,91367,164671735,78336813
3250,569355,293793,123299,145031,167620,84817,40268,93743735,514802,143720,24179,10657960,263579,23272406,104496,91111043,136684,191139086,219318,201171794,94135466
3500,634228,311118,129360,146864,164838,87882,44492,93568478,306794,141642,31057,13241284,241923,21771305,112520,105661387,137046,183263327,69529,190861979,122391933
3750,626113,303445,134533,143854,164818,87922,44985,111881389,310094,156275,33785,13920439,191773,23003464,111660,98340092,153751,229799871,65902,224273786,110148960
4000,573474,305263,121975,139285,155863,91091,68941,117349840,317885,160700,31693,15106766,199369,30438887,94227,102507919,152415,209006735,65163,219029682,107961574
4250,538013,321939,123354,151544,168721,85727,44453,110119873,315484,175673,33858,16386663,227605,32149793,91066,107536208,2687647,301089641,70640,238233225,118871417
4500,594331,321255,123715,139911,162655,73687,47199,150653369,365655,159033,32870,19623876,248976,34737725,93910,124023951,141799,247518065,64418,244152115,131483505
4750,629628,349328,139140,137454,161794,72156,53340,133762294,333366,154892,32522,18369495,240245,35546749,92124,138676190,142203,307559418,77558,270216598,150698396
5000,612238,326833,123541,135132,160746,76655,41522,137164767,327934,156661,31166,18296545,239482,26816813,102599,130284039,137960,304518452,72652,280530637,164429375
5250,552838,328965,126248,142820,155431,71875,45220,144935623,327066,166513,32225,16777806,231371,28607082,98892,140690105,165440,313513929,80728,300559783,157302893
